Date;Interview_location_latitude;Interview_location__longitude;Respondent Age;Educational Level;Primary Livelihood;Observed Land Use Change (Past 20 years);Main Driver of Change;Key Pressures on Habitat;_index
Thursday, 15 January 2026;-4.295385;29.568989;52;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Sedimentation/siltation;381
Thursday, 15 January 2026;-4.295385;29.568989;48;Secondary education;Wage labor;Settlement expansion;Population pressure/growth;Climate change impacts Deforestation Sedimentation/siltation;382
Thursday, 15 January 2026;-4.295385;29.568989;44;Secondary education;Crop agriculture;Settlement expansion;Population pressure/growth;Sedimentation/siltation Climate change impacts;383
Thursday, 15 January 2026;-4.295385;29.568989;61;Primary education;Crop agriculture;Settlement expansion;Population pressure/growth;Sedimentation/siltation Soil erosion Deforestation;384
Thursday, 15 January 2026;-4.295385;29.568989;78;Primary education;Trade/commerce;Settlement expansion;Population pressure/growth;Sedimentation/siltation Deforestation Climate change impacts;385
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
